Municipality,Debt_2010,Debt_2019,LeasingActive,DebtReduction
Alberschwende,266106545,304556122.0,True,-38449577.0
Altach,1725164076,1027917062.0,False,697247014.0
Andelsbuch,204314023,457903492.0,False,-253589469.0
Au,152245517,9169306.0,False,143076211.0
Bartholomäberg,433083996,245672298.0,True,187411698.0
Bezau,401914368,160458031.0,False,241456337.0
Bildstein,245958153,262684321.0,False,-16726168.0
Bizau,36108927,59652151.0,False,-23543224.0
Blons,172889842,544688282.0,False,-371798440.0
Bludenz  ,2079697892,2258082692.0,True,-178384800.0
Bludesch,462245047,744599724.0,False,-282354677.0
Brand,56933664,584310513.0,False,-527376849.0
Bregenz,4069509279,659035401.0,True,3410473878.0
Buch,21314839,322521654.0,False,-301206815.0
Bürs,554031105,372466043.0,False,181565062.0
Bürserberg,522292878,362566063.0,False,159726815.0
Dalaas,493048681,263283046.0,False,229765635.0
Damüls,247510876,340762117.0,False,-93251241.0
Doren,47767218,189732315.0,False,-141965097.0
Dornbirn,1297166079,1536393066.0,True,-239226987.0
Düns,58543295,110056389.0,False,-51513094.0
Dünserberg,73533844,143968814.0,False,-70434970.0
Egg ,345529877,1268186336.0,True,-922656459.0
Eichenberg,79511974,335293729.0,False,-255781755.0
Feldkirch,3586351221,4351400853.0,False,-765049632.0
Fontanella,338448807,212644094.0,False,125804713.0
Frastanz,728773066,301083155.0,True,427689911.0
Fraxern,136199235,414290224.0,False,-278090989.0
Fußach,35670323,226810929.0,False,-191140606.0
Gaißau,108222866,172569431.0,False,-64346565.0
Gaschurn,320594897,486846776.0,False,-166251879.0
Göfis,1244549629,1377552738.0,False,-133003109.0
Götzis,2365397497,2687201594.0,False,-321804097.0
Hard,1067033974,3195035035.0,True,-2128001061.0
Hittisau,76796563,24427403.0,True,52369160.0
Hohenems,2657118436,2403879982.0,True,253238454.0
Hohenweiler,131585032,13748361.0,False,117836671.0
Höchst,2038441251,2004706871.0,False,33734380.0
Hörbranz,112897821,19086823.0,False,93810998.0
Innerbraz,55497919,92658944.0,False,-37161025.0
Kennelbach,137523644,362398855.0,True,-224875211.0
Klaus,705526315,1371696187.0,False,-666169872.0
Klösterle,697210436,773505758.0,True,-76295322.0
Koblach,218555034,122788735.0,False,95766299.0
Krumbach,1194943,172211612.0,True,-171016669.0
Langen b.Breg.,11453488,1469537.0,False,9983951.0
Langenegg,202165596,305963016.0,True,-103797420.0
Laterns,226491011,3954008.0,False,222537003.0
Lauterach,1222235508,1177058164.0,True,45177344.0
Lech,336477561,1305917396.0,True,-969439835.0
Lingenau,508743294,564462124.0,True,-55718830.0
Lochau,488696825,933729865.0,True,-445033040.0
Lorüns,85772017,36827173.0,False,48944844.0
Ludesch,1354567861,1087287829.0,False,267280032.0
Lustenau,5757033619,6767785211.0,False,-1010751592.0
Meiningen,60469891,97198178.0,False,-36728287.0
Mellau,175268201,471625141.0,False,-296356940.0
Mittelberg,1592094923,1701812992.0,False,-109718069.0
Mäder,580717877,717158001.0,False,-136440124.0
Möggers,118602577,18076452.0,False,100526125.0
Nenzing,1637911409,1242195846.0,True,395715563.0
Nüziders,482896648,519634528.0,False,-36737880.0
Raggal,169742456,402783997.0,False,-233041541.0
Rankweil,974425935,1034297366.0,True,-59871431.0
Reuthe,27205865,97572268.0,False,-70366403.0
Riefensberg,45880759,150468736.0,False,-104587977.0
Röns,59461802,210927449.0,False,-151465647.0
Röthis,233860538,124279688.0,False,109580850.0
Satteins ,77954193,60236894.0,False,17717299.0
Schlins,41947937,549192822.0,False,-507244885.0
Schnepfau,18648315,38255412.0,False,-19607097.0
Schnifis,11068715,81283944.0,False,-70215229.0
Schoppernau,91574753,203139071.0,False,-111564318.0
Schruns,1110648075,1017100629.0,False,93547446.0
Schröcken,314830542,363384122.0,True,-48553580.0
Schwarzach,228053661,388963157.0,False,-160909496.0
Schwarzenberg,5053856,101446949.0,False,-96393093.0
Sibratsgfäll,15528814,27393265.0,False,-11864451.0
Silbertal,379707724,380486414.0,True,-778690.0
Sonntag,392897415,271244694.0,False,121652721.0
St. Anton i.M.,169384564,129191714.0,False,40192850.0
St. Gallenkirch,811565559,399203728.0,True,412361831.0
St. Gerold,239355242,397182102.0,False,-157826860.0
Stallehr,174548896,107565606.0,False,66983290.0
Sulz,429478088,782988106.0,True,-353510018.0
Sulzberg,129041182,298603146.0,True,-169561964.0
Thüringen,23142757,551377167.0,False,-528234410.0
Thüringerberg,34509583,242147434.0,True,-207637851.0
Tschagguns,386170187,889451602.0,True,-503281415.0
Vandans,865114614,771712345.0,False,93402269.0
Viktorsberg,40658596,3183188.0,False,37475408.0
Warth,231032197,488866902.0,False,-257834705.0
Weiler,217230587,369750057.0,False,-152519470.0
Wolfurt,164705257,447411683.0,True,-282706426.0
Zwischenwasser ,351055224,491399699.0,False,-140344475.0
Übersaxen,151613135,170687141.0,False,-19074006.0
