Code,Municipality,Population,Reference Date,Year,Annual financial statement,Debts,Public-private partnerships,Leasing,Total debts,Revenues,Expenditures
80101,Bartholomäberg,2232,31.10.2001,2006,31.12.2006,367112412,0,694078,374053192,427182235,427182235
80102,Blons,335,31.10.2001,2006,31.12.2006,213649219,0,0,213649219,254321371,254321371
80103,Bludenz  ,13699,31.10.2001,2006,31.12.2006,242532267,5263700,18079511,2952112795,3605968065,3605968065
80104,Bludesch,2158,31.10.2001,2006,31.12.2006,52730925,610400,2216094,590565344,427241135,477282699
80105,Brand,709,31.10.2001,2006,31.12.2006,238360137,0,0,238360137,296620146,296620146
80106,Bürs,3115,31.10.2001,2006,31.12.2006,650019413,2200400,99464257,96952367,969397185,969397185
80107,Bürserberg,544,31.10.2001,2006,31.12.2006,212552059,0,31470445,244022504,216602239,226669021
80108,Dalaas,1548,31.10.2001,2006,31.12.2006,578741659,771400,8394473,664276132,451346551,451346551
80109,Fontanella,473,31.10.2001,2006,31.12.2006,214406767,0,0,214406767,218480262,233605823
80110,Gaschurn,1651,31.10.2001,2006,31.12.2006,400387893,0,23000756,423388649,773290313,852925958
80111,Innerbraz,975,31.10.2001,2006,31.12.2006,218008973,554700,73667,274215643,25204606,25204606
80112,Klösterle,767,31.10.2001,2006,31.12.2006,658167733,0,0,658167733,425222259,425222259
80113,Lech,1465,31.10.2001,2006,31.12.2006,495801414,10883300,0,1584131414,1597602499,1663780768
80114,Lorüns,265,31.10.2001,2006,31.12.2006,75917955,0,24022475,9994043,86816916,86816916
80115,Ludesch,2804,31.10.2001,2006,31.12.2006,1009589445,8623300,484916,1876768605,73954486,771185699
80116,Nenzing,5652,31.10.2001,2006,31.12.2006,1576119882,0,12667723,2186973081,2536309912,2536309912
80117,Nüziders,4477,31.10.2001,2006,31.12.2006,459138484,3100300,152631617,921800101,802965817,802965817
80118,Raggal,863,31.10.2001,2006,31.12.2006,115407624,1659700,2284608,304223704,258526503,258526503
80119,St. Anton i.M.,699,31.10.2001,2006,31.12.2006,61313415,0,0,61313415,181558413,181558413
80120,St. Gallenkirch,2268,31.10.2001,2006,31.12.2006,964780785,0,49262159,1014042944,985738944,829641891
80121,St. Gerold,385,31.10.2001,2006,31.12.2006,294258756,0,0,294258756,116946415,120236643
80122,Schruns,3712,31.10.2001,2006,31.12.2006,1098277465,0,9297357,1107574822,1120663933,1169034121
80123,Silbertal,873,31.10.2001,2006,31.12.2006,21158606,0,0,21158606,6102649,6102649
80124,Sonntag,723,31.10.2001,2006,31.12.2006,301106804,0,29678269,330785073,311319605,397415402
80125,Stallehr,272,31.10.2001,2006,31.12.2006,142652939,0,0,142652939,111777266,111777266
80126,Thüringen,2157,31.10.2001,2006,31.12.2006,303493251,0,0,303493251,45838268,45838268
80127,Thüringerberg,667,31.10.2001,2006,31.12.2006,38677811,0,0,38677811,145411076,145411076
80128,Tschagguns,2335,31.10.2001,2006,31.12.2006,340508866,1820500,0,522558866,491944408,485282014
80129,Vandans,2638,31.10.2001,2006,31.12.2006,549259318,2036200,0,752879318,555549189,555549189
80201,Alberschwende,3019,31.10.2001,2006,31.12.2006,450532444,5161300,398374,1006499844,612410055,61072114
80202,Andelsbuch,2285,31.10.2001,2006,31.12.2006,265199363,0,0,265199363,417196414,417196414
80203,Au,1643,31.10.2001,2006,31.12.2006,130818794,0,0,130818794,42898628,428939517
80204,Bezau,1878,31.10.2001,2006,31.12.2006,729526495,0,0,729526495,805178822,805178822
80205,Bildstein,731,31.10.2001,2006,31.12.2006,94234763,997700,0,194004763,181985712,228656849
80206,Bizau,960,31.10.2001,2006,31.12.2006,141379488,0,0,141379488,291416933,291416933
80207,Bregenz,26747,31.10.2001,2006,31.12.2006,4024636687,16381300,5462406,6067268923,1079527506,1079527506
80208,Buch,558,31.10.2001,2006,31.12.2006,32667099,0,0,32667099,98407501,98407501
80209,Damüls,326,31.10.2001,2006,31.12.2006,316011288,630400,0,379051288,22096452,22096452
80210,Doren,1002,31.10.2001,2006,31.12.2006,50504216,1045200,379778,193002016,221329206,221329206
80211,Egg ,3359,31.10.2001,2006,31.12.2006,175102967,260500,1647569,202800536,796557757,796557757
80212,Eichenberg,384,31.10.2001,2006,31.12.2006,58090901,0,0,58090901,75783218,77277273
80213,Fußach,3521,31.10.2001,2006,31.12.2006,41554332,3110445,0,72658782,858653052,858653052
80214,Gaißau,1486,31.10.2001,2006,31.12.2006,89717527,0,104434374,194151901,314452541,314452541
80215,Hard,11468,31.10.2001,2006,31.12.2006,1067443786,0,12946198,1368290669,2558779098,2558380042
80216,Hittisau,1801,31.10.2001,2006,31.12.2006,10620807,0,0,10620807,42622193,42622193
80217,Höchst,7095,31.10.2001,2006,31.12.2006,2162967596,0,11994757,228289119,2403634659,2403634659
80218,Hörbranz,6151,31.10.2001,2006,31.12.2006,171323204,0,4751121,267957092,954906973,954906973
80219,Hohenweiler,1247,31.10.2001,2006,31.12.2006,170565313,0,0,170565313,183084147,183084147
80220,Kennelbach,1961,31.10.2001,2006,31.12.2006,16775561,0,16501367,184256977,325243442,325243442
80221,Krumbach,933,31.10.2001,2006,31.12.2006,147546885,0,0,147546885,211469356,211469356
80222,Langen b.Breg.,1299,31.10.2001,2006,31.12.2006,20912543,0,0,20912543,424157187,424157187
80223,Langenegg,1026,31.10.2001,2006,31.12.2006,202571319,0,0,202571319,239678463,239678463
80224,Lauterach,8676,31.10.2001,2006,31.12.2006,91454378,4249000,7952327,1776062037,1558881274,1558881274
80225,Lingenau,1328,31.10.2001,2006,31.12.2006,655147024,4670000,50054935,1172201959,854270325,854270325
80226,Lochau,5241,31.10.2001,2006,31.12.2006,527981648,0,4598419,59572913,904335129,904335129
